regime,mae,rmse,r2,bias,n,baseline_mae,skill_vs_naive,skill_vs_fold_naive,fold,model
pooled,2.2631213605164993,3.819677113485551,0.3992747257955672,-0.06315357768546613,419,2.4398695174704628,0.07244164316508506,0.07244164316508506,fold_2_2021-01-22,gated:season
Autumn,1.0077433977123706,1.8142079349514082,0.22157323133809315,0.09304829862537431,262,1.0816326863653007,0.068312736462529,0.19427484484670632,fold_3_2021-07-22,pooled
Summer,2.4868545372213844,4.216189297161566,0.12480808125457377,-0.11540846509282639,125,2.7867559569920055,0.10761667846018763,-0.9883248676150322,fold_3_2021-07-22,pooled
Winter,0.5253553975055252,0.9867381779744838,-2.0252325658824066,0.05131730156582397,169,0.3287031392048411,-0.598267052685902,0.579960473939443,fold_3_2021-07-22,pooled
pooled,1.193652247359259,2.4173059220151742,0.12469007663221554,0.033498597244368745,556,1.2507284788950668,0.04563439027648164,0.04563439027648164,fold_3_2021-07-22,pooled
Autumn,0.9737724328942059,1.7904491566763403,0.24182820577169273,0.2376435206383117,262,1.0816326863653007,0.09971985391228011,0.2214357877622909,fold_3_2021-07-22,gated:flow_vs_rest
Summer,2.6780821557060563,4.412648197075879,0.04134640673626877,-0.4431725454950906,125,2.7867559569920055,0.03899652605506598,-1.1412178589488575,fold_3_2021-07-22,gated:flow_vs_rest
Winter,0.4235106735681454,0.7343953063300275,-0.6757710683321845,0.15388836206143094,169,0.3287031392048411,-0.2884290505793501,0.6613887980368943,fold_3_2021-07-22,gated:flow_vs_rest
pooled,1.189679767472222,2.460104848212433,0.09342058462207836,0.059124401814268326,556,1.2507284788950668,0.04881052318947532,0.04881052318947532,fold_3_2021-07-22,gated:flow_vs_rest
Autumn,0.9476076577167469,1.7469710842386663,0.27820300259066344,0.20863946051780588,262,1.0816326863653007,0.12390992833151993,0.24235541629795332,fold_3_2021-07-22,gated:colony_cycle
Summer,2.5231717864138274,4.1289315246966956,0.1606589634365151,-0.6575932103565753,125,2.7867559569920055,0.09458459034306255,-1.0173617447672396,fold_3_2021-07-22,gated:colony_cycle
Winter,0.4010181195701691,0.7061029103202008,-0.5491408497991626,0.04816992794910764,169,0.3287031392048411,-0.22000088146484886,0.679372360718578,fold_3_2021-07-22,gated:colony_cycle
pooled,1.135686586026753,2.3286105920650284,0.18774506762108745,-0.034882904344438075,556,1.2507284788950668,0.09197990995611238,0.09197990995611238,fold_3_2021-07-22,gated:colony_cycle
Autumn,0.9507271693046491,1.8017668170649235,0.23221290806238126,0.2109570363661034,262,1.0816326863653007,0.12102585166924296,0.2398612605794732,fold_3_2021-07-22,gated:season
Summer,2.5231717864138274,4.1289315246966956,0.1606589634365151,-0.6575932103565753,125,2.7867559569920055,0.09458459034306255,-1.0173617447672396,fold_3_2021-07-22,gated:season
Winter,0.6141880945641978,1.355029522282764,-4.704957558233086,0.1641298029856499,169,0.3287031392048411,-0.8685191022208285,0.5089357083267256,fold_3_2021-07-22,gated:season
pooled,1.201951042519597,2.4332301072697904,0.11311975114813144,0.001455987298420892,556,1.2507284788950668,0.038999221012830376,0.038999221012830376,fold_3_2021-07-22,gated:season
Spring,2.8716731687284085,5.065526989118927,0.20353895355567353,-0.860699417686488,297,3.6422578129417755,0.21156784714011823,0.03632509768223802,fold_4_2022-01-22,pooled
Summer,3.1660426798585433,5.721986962975242,0.4202285210444965,0.6948917049515623,22,3.58039618822748,0.11572839612871666,-0.06245930193983784,fold_4_2022-01-22,pooled
Winter,0.9737923222604332,2.1712973110970233,-0.6560101643251315,0.14659558018095276,114,0.8660070543943322,-0.12446234394878442,0.6732151725164301,fold_4_2022-01-22,pooled
pooled,2.386956569992875,4.528241384933066,0.2491586393623646,-0.5164623866127575,433,2.9799190181477857,0.19898609477094964,0.19898609477094964,fold_4_2022-01-22,pooled
Spring,2.9645754789393357,5.201380087520453,0.1602452786203875,-0.9477222220718683,297,3.6422578129417755,0.18606105575351628,0.00514897858465535,fold_4_2022-01-22,gated:flow_vs_rest
Summer,3.169037855742853,5.651792800757525,0.4343659009480656,0.7922201679056408,22,3.58039618822748,0.11489184739867442,-0.06346442183271717,fold_4_2022-01-22,gated:flow_vs_rest
Winter,0.8196990670648846,1.9593148216852532,-0.34844381815939185,0.15017088069716647,114,0.8660070543943322,0.05347299088901125,0.7249257237955475,fold_4_2022-01-22,gated:flow_vs_rest
pooled,2.410261994726841,4.603322527878123,0.22405335833164386,-0.5702659950622258,433,2.9799190181477857,0.19116526991227556,0.19116526991227556,fold_4_2022-01-22,gated:flow_vs_rest
Spring,2.9241819409125744,5.246272334591283,0.1456871573386066,-0.9136366144863775,297,3.6422578129417755,0.19715130254583113,0.01870422548256212,fold_4_2022-01-22,gated:colony_cycle
Summer,2.9739636625053323,5.465117208513759,0.4711139888904876,-0.10003394856557034,22,3.58039618822748,0.16937581592677597,0.001998495800115796,fold_4_2022-01-22,gated:colony_cycle
Winter,0.7652660306594539,1.7766058307436265,-0.10868092430548248,0.09858830155129183,114,0.8660070543943322,0.11632817911089022,0.7431923397921341,fold_4_2022-01-22,gated:colony_cycle
pooled,2.3583130820354032,4.607291254393626,0.2227148262225117,-0.6058008198476891,433,2.9799190181477857,0.2085982646933644,0.2085982646933644,fold_4_2022-01-22,gated:colony_cycle
Spring,2.9241819409125744,5.246272334591283,0.1456871573386066,-0.9136366144863772,297,3.6422578129417755,0.19715130254583113,0.01870422548256212,fold_4_2022-01-22,gated:season
Summer,2.9739636625053323,5.465117208513759,0.4711139888904875,-0.10003394856557035,22,3.58039618822748,0.16937581592677597,0.001998495800115796,fold_4_2022-01-22,gated:season
Winter,0.7986747806411886,1.711729050120917,-0.029187378263439756,0.1328594224053815,114,0.8660070543943322,0.07775026012950259,0.7319810451971218,fold_4_2022-01-22,gated:season
pooled,2.367108919213043,4.600820516117601,0.2248966188270516,-0.5967779381447647,433,2.9799190181477857,0.20564656126650183,0.20564656126650183,fold_4_2022-01-22,gated:season
