hive_id,measurement_date,end_of_day_weight_kg,removed_kg,weight_before_kg,weight_after_7d_kg,month
62,2022-03-30,46.2341956521739,14.3279556948942,60.5621513470681,47.709238449491,3
62,2022-05-27,78.9410278989751,30.83935537628591,109.780383275261,80.6263220590433,5
67,2020-05-17,38.044523110785,13.086820707795802,51.1313438185808,34.6957627511592,5
67,2020-05-28,31.9729915966387,4.2198477268284975,36.1928393234672,32.2928084507042,5
67,2020-07-25,27.5562824795843,10.752581856080003,38.3088643356643,24.9717990264256,7
67,2022-07-31,22.3978472222222,3.0166906313551998,25.4145378535774,21.6773026407227,7
69,2021-05-31,49.2780418195158,10.544361778698502,59.8224035982143,45.4121076487252,5
70,2021-06-13,45.2388518518519,14.8264324138824,60.0652842657343,43.7535796943231,6
70,2021-07-20,47.5067604824903,20.700544633625107,68.2073051161154,24.4929381067961,7
70,2021-07-21,39.4599242209632,8.046836261527098,47.5067604824903,24.0934442060086,7
70,2021-07-25,31.9163587127159,8.170548173043098,40.086906885759,23.2444225806452,7
70,2021-07-26,24.8879108187135,7.028447894002401,31.9163587127159,22.9650455882353,7
70,2022-07-29,32.402052246604,24.308317424954396,56.7103696715584,25.345167842031,7
70,2022-07-30,25.7614139784946,6.640638268109402,32.402052246604,25.1530798969072,7
72,2021-06-01,32.9970291181364,5.8991455543527,38.8961746724891,35.0822623152709,6
74,2020-06-05,22.8641839378238,6.595334580694701,29.4595185185185,25.3197617100372,6
75,2022-05-15,72.036894962406,4.12198406189961,76.1588790243056,64.0547896319444,5
75,2022-05-16,61.7235909722222,10.313303990183798,72.036894962406,56.7386739583333,5
75,2022-05-23,56.7386739583333,7.316115673611101,64.0547896319444,46.0064913194444,5
75,2022-05-24,45.986784375,10.751889583333302,56.7386739583333,46.1178660403619,5
75,2022-08-02,30.6355545138889,13.901530208333298,44.5370847222222,29.9520528128588,8
76,2020-07-26,14.0765732638889,5.796178326217099,19.872751590106,13.619246875,7
79,2020-09-17,27.6754545138889,3.6801059027778003,31.3555604166667,27.3474857638889,9
79,2022-05-06,48.0709953604568,7.747995611765404,55.8189909722222,36.5632024305556,5
79,2022-05-07,36.7004913194444,11.370504041012396,48.0709953604568,36.5603121527778,5
80,2020-09-28,36.9486915789474,4.0411607917423,40.9898523706897,36.7208815972222,9
82,2021-05-29,54.8496391260446,4.7808981690943,59.6305372951389,53.7495197916667,5
82,2021-06-18,29.3065392361111,17.1586131944445,46.4651524305556,25.3189768431002,6
82,2022-08-01,51.9505201388889,8.636705555555501,60.5872256944444,41.0906677083333,8
84,2020-05-29,47.8993916666667,5.4843961805555,53.3837878472222,42.5684138888889,5
84,2020-05-30,40.245679020979,7.653712645687705,47.8993916666667,42.3289680555556,5
84,2020-07-04,59.4155482638889,3.869703454861096,63.28525171875,39.2411638537271,7
84,2020-07-05,48.5210614583333,10.894486805555601,59.4155482638889,38.8370091642229,7
84,2020-07-06,39.9694482638889,8.5516131944444,48.5210614583333,38.7172328271873,7
84,2020-07-29,37.1481986013986,3.1559250097125044,40.3041236111111,29.9007426253687,7
84,2020-07-30,29.5989663194444,7.549232281954197,37.1481986013986,29.6649704861111,7
84,2020-11-15,34.8960548611111,3.5926133112308065,38.4886681723419,31.4253881944444,11
84,2020-11-16,31.7208343949045,3.1752204662065964,34.8960548611111,31.3302489583333,11
85,2020-07-14,63.02366640625,3.6577807013889014,66.6814471076389,57.1588947735192,7
85,2020-09-13,56.6345389159138,3.123489209086202,59.758028125,57.1766118055556,9
85,2020-12-31,45.0146124,8.991000794444403,54.0056131944444,39.2199847009736,12
85,2021-01-01,38.7057093184979,6.308903081502095,45.0146124,39.0819131944444,1
88,2022-02-19,28.7610180212014,8.006155193084297,36.7671732142857,26.5982673022599,2
90,2020-07-16,58.8846806150104,8.502463711378503,67.3871443263889,33.5369607638889,7
90,2020-09-18,39.3978541666667,4.335346180555504,43.7332003472222,35.4307826388889,9
90,2021-03-23,35.3705833333333,4.876249999999999,40.2468333333333,30.1065756944444,3
90,2021-03-24,30.7350588235294,4.635524509803901,35.3705833333333,31.5948138888889,3
95,2020-06-28,65.5271401565762,12.396855194118203,77.9239953506944,59.6734799703264,6
95,2021-09-03,44.3085532868526,4.7270363357889025,49.0355896226415,43.8838915159944,9
95,2022-05-14,53.9526137787056,7.856851151850002,61.8094649305556,53.0927522871217,5
96,2021-06-05,21.8776405160391,4.410557807983199,26.2881983240223,18.2347256944444,6
96,2021-06-09,18.8049363636364,3.416879480699901,22.2218158443363,15.7364465277778,6
96,2021-07-03,17.24889375,3.472149652777798,20.7210434027778,14.5075385416667,7
96,2022-06-08,52.7550982638889,15.610622364583307,68.3657206284722,56.5729332603939,6
96,2022-07-24,57.3029517534722,14.301571098689593,71.6045228521618,36.56005625,7
96,2022-07-25,46.6282444444444,10.674707309027802,57.3029517534722,36.2698763888889,7
